scheduler,workload,network,task_seed,num_tasks,episode_return,return_per_task,on_time_rate,completion_rate,avg_latency_ms,energy_per_task_j
RoundRobin,burst,normal,700000131,163,-450.644597913606,-2.764690784746049,0.15337423312883436,0.15337423312883436,931.1530782973764,24.958682111359355
Random,burst,normal,700000131,163,-453.85310908878546,-2.7843749023851867,0.20245398773006135,0.20245398773006135,1081.6996832809518,37.72944102549005
Greedy,burst,normal,700000131,163,-448.4761617943853,-2.7513874956710755,0.147239263803681,0.147239263803681,1082.7965922484477,13.371632122202685
ECT,burst,normal,700000131,163,-459.81054040730714,-2.8209235607810252,0.13496932515337423,0.1411042944785276,1164.9482932276455,10.885678088579288
FIFO,burst,normal,700000132,148,-530.9341751361209,-3.58739307524406,0.006756756756756757,0.006756756756756757,1011.2318373669888,78.69733196559149
RoundRobin,burst,normal,700000132,148,-437.06879149214944,-2.953167510082091,0.21621621621621623,0.21621621621621623,1120.8891660687486,35.28733122120353
Random,burst,normal,700000132,148,-416.7923480429216,-2.8161645138035243,0.25,0.25675675675675674,1018.3310358486958,43.40599582562853
Greedy,burst,normal,700000132,148,-438.95361537104674,-2.9659028065611266,0.16891891891891891,0.17567567567567569,1250.0361545248072,16.179247492992477
ECT,burst,normal,700000132,148,-447.0389251475536,-3.020533278024011,0.13513513513513514,0.13513513513513514,1305.534807263894,9.587549646283348
FIFO,burst,normal,700000133,169,-615.2474518722281,-3.6405174666995745,0.011834319526627219,0.011834319526627219,1106.1555768921942,76.08300163272001
RoundRobin,burst,normal,700000133,169,-490.74855800558635,-2.9038376213348305,0.23668639053254437,0.23668639053254437,988.1978762489332,34.86553056582995
Random,burst,normal,700000133,169,-503.875357250766,-2.981510989649503,0.1952662721893491,0.20118343195266272,998.8561408397571,37.702536648135485
Greedy,burst,normal,700000133,169,-497.89107939674716,-2.946101061519214,0.1834319526627219,0.1834319526627219,974.0112791301724,16.769146357756913
